molecule_chembl_id,label,canonical_smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL2071012,0,CC1=C(C(=NN1C2=CC=CC=C2)C=O)O ,10.58835632,-0.061247166,10.58835632,0.061247166,0.753871527,202.213,192.133,202.0742276,76,0,0.173668083,-0.503937036,0.503937036,0.173668083,1.333333333,2,2.533333333,16.25920422,10.28227046,2.127876633,-2.018570224,2.219477786,-1.980169926,5.764953431,0.111182031,2.593286419,488.7890706,10.83649881,8.213990692,8.213990692,7.236382105,4.529488189,4.529488189,3.184461093,3.184461093,2.223158721,2.223158721,1.415718467,1.415718467,-2.1,3888.913255,9.454836706,3.570210348,1.498335068,86.78137086,5.106527395,0,17.72960035,0,0,0,4.794537184,4.681802935,5.098681808,0,18.19910121,19.05647134,0,11.38131427,9.901064579,6.286160523,0,9.780484743,0,6.9237372,0,41.71969133,0,11.43689811,0,0,5.749511833,0,21.17317266,0,6.9237372,16.18239317,30.33183534,0,5.687386275,0,55.12,0,9.901064579,0,11.44343983,11.98008852,5.687386275,0,11.60554013,30.33183534,5.098681808,0,1.540740741,0,10.58835632,13.56178382,1.442641723,-0.061247166,9.340317145,0.543425926,1.710648148,0,0.090909091,15,1,4,0,0,0,1,1,2,4,1,4,2,0,0,0,2,1.69882,55.3533,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2071013,0,COC(=O)C1=C(C(=NN1)C(=O)OC)O,10.9529332,-0.838978647,10.9529332,0.284351852,0.634606348,200.15,192.086,200.0433214,76,0,0.361992494,-0.503424447,0.503424447,0.361992494,1.285714286,1.857142857,2.357142857,16.52976254,10.29869162,2.234605127,-1.95518671,2.198304184,-2.028374138,5.969853106,0.058832334,3.08139194,336.6571011,10.71517847,7.527420353,7.527420353,6.612590865,3.553813555,3.553813555,2.278983641,2.278983641,1.508879418,1.508879418,0.819479712,0.819479712,-2.05,1613.267417,10.03368201,3.773296003,1.51322592,78.63280196,14.5802533,0,11.44343983,5.693927995,0,11.93861058,5.098681808,9.589074368,5.098681808,0,0,0,0,14.21959508,24.16932767,11.93861058,0,10.19736362,0,0,14.21959508,11.38785599,0,5.749511833,0,0,5.749511833,0,41.46209667,9.473725908,0,20.97693036,0,0,0,0,101.51,17.68812241,14.69560176,0,11.38785599,0,14.21959508,0,0,0,19.67108952,0,8.631749339,0,21.8946164,14.90615741,-0.638148148,-2.233559146,0,0,0,2.272517479,0.285714286,14,2,7,0,0,0,0,1,1,6,2,7,2,0,0,0,1,-0.3115,42.9315,0,0,0,0,0,2,1,1,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4295018,0,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)N3C=CN=C3,8.782419517,0.679431153,8.782419517,0.679431153,0.693863599,245.285,234.197,245.0952974,90,0,0.0991202,-0.306333816,0.306333816,0.0991202,0.894736842,1.526315789,2.052631579,15.01905426,10.03905656,1.993683087,-2.048165142,2.208901103,-1.888037802,5.649775485,1.057359798,1.917200315,702.1905421,13.0791395,10.19249375,10.19249375,9.364504643,5.956076898,5.956076898,4.20598143,4.20598143,3.017183285,3.017183285,1.975076092,1.975076092,-2.86,50944.15992,11.24296129,4.78954378,2.242794963,110.9418932,4.567099648,0,0,0,0,0,0,4.983978521,5.261891555,0,24.26546827,35.39237126,18.08107342,17.95999288,0,0,5.261891555,9.551078169,0,0,0,72.81539526,0,22.88351057,0,0,0,0,9.551078169,0,11.33111287,5.563451492,67.25194377,0,16.81428926,0,41.61,0,0,0,0,5.563451492,16.81428926,0,12.52416365,35.02941149,35.31866811,5.261891555,1.96087219,0,4.030586714,8.782419517,3.998348964,0,17.94804736,5.446391919,0,0,0,19,0,3,0,0,0,2,1,3,3,0,3,2,0,0,0,3,3.41098,73.715,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4287095,0,C1=CC(=CC=C1C2=CC=C(C=C2)N3C=CN=C3)C(=O)N,11.03831226,-0.410179899,11.03831226,0.410179899,0.789244772,263.3,250.196,263.105862,98,0,0.248195838,-0.365599507,0.365599507,0.248195838,0.95,1.55,2.05,16.1462718,10.03352497,2.020504761,-2.054093169,2.210222323,-2.097451825,5.927971567,0.100007591,1.890202337,713.4282563,13.94938299,10.73087871,10.73087871,9.737183443,6.22526938,6.22526938,4.458428801,4.458428801,3.172601637,3.172601637,2.06480692,2.06480692,-2.88,72022.1551,12.16908878,5.010594408,2.31060496,116.0507263,10.30076712,0,0,5.907179729,0,0,4.794537184,4.983978521,0,0,24.26546827,35.39237126,23.64452491,6.327320075,4.794537184,5.907179729,0,9.551078169,5.733667477,0,0,72.81539526,0,16.81428926,5.733667477,0,0,0,15.4582579,0,0,10.35798868,67.25194377,0,16.81428926,0,60.91,5.907179729,4.794537184,0,0,5.563451492,16.81428926,0,24.65689778,47.16214563,4.983978521,5.733667477,1.944412135,0,15.0628517,0,8.938095691,-0.410179899,15.3916188,5.406534915,0,0,0,20,2,4,0,0,0,2,1,3,3,1,4,3,0,0,0,3,2.6382,77.5179,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4278769,0,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)C3=NNN=N3,8.768326869,0.575350404,8.768326869,0.575350404,0.753776837,247.261,238.189,247.0857953,90,0,0.204161665,-0.192437046,0.204161665,0.192437046,0.842105263,1.421052632,1.947368421,15.47015494,10.02489832,2.03071909,-2.020669108,2.223931934,-1.826617047,5.674964208,0.881498814,1.917200315,706.0328203,13.0791395,9.907656536,9.907656536,9.364504643,5.710768399,5.710768399,4.001914134,4.001914134,2.835776445,2.835776445,1.83305086,1.83305086,-3,50944.15992,11.11111111,4.704,2.192906574,109.0765784,0,0,0,5.824404498,0,0,0,0,10.47527665,10.19736362,36.39820241,28.47302222,5.563451492,11.6326728,0,0,5.261891555,20.62413381,0,0,0,54.09438804,0,28.58398029,0,0,0,0,20.62413381,0,11.33111287,5.563451492,48.53093655,0,22.51475897,0,78.25,0,0,0,0,11.38785599,16.69035448,0,0,48.53093655,26.69335512,5.261891555,0,0,0,22.5824495,3.716397199,0.575350404,17.45913623,0,0,0,0,19,1,5,0,0,0,2,1,3,4,1,5,2,0,0,0,3,2.40538,69.7647,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHEMBL4293332,0,C1=CC(=CC=C1C2=C(C=C(C=C2)C3=NNN=N3)Cl)N4C=NN=N4,6.39644955,0.506926009,6.39644955,0.506926009,0.619812444,324.735,315.663,324.06387,112,0,0.204214835,-0.200555557,0.204214835,0.200555557,1,1.826086957,2.47826087,35.49569176,10.03049668,2.087256353,-2.068818164,2.310061849,-1.941683006,6.331893057,0.789008993,1.677030576,916.0927783,15.6480536,11.6272618,12.38319074,11.30966309,6.682815082,7.060779555,4.731304733,5.138504859,3.364494904,3.677203913,2.245715182,2.535366758,-3.13,477578.2708,13.52724445,5.577269069,2.552375605,134.6628536,0,6.327320075,0,5.824404498,0,0,0,4.681802935,5.213385096,15.29604542,35.86640816,39.40270798,16.1495363,5.687386275,0,11.60093989,0,40.83138874,0,0,0,53.81452287,0,28.20214525,0,0,0,11.60093989,40.83138874,0,0,0,48.79188955,5.022633314,28.20214525,0,98.06,0,0,0,0,10.84703781,22.37774075,0,11.00912301,42.46456948,36.14958581,11.60093989,1.588023281,6.39644955,0,25.55696573,3.587743615,0.506926009,13.43165738,1.543345554,0,0,0,23,1,8,0,0,0,2,2,4,7,1,9,3,0,0,0,4,2.1628,82.7717,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CHEMBL90522,0,C1=CC(=CC=C1C2=CC=C(C=C2)O)C(=O)O,10.66033331,-0.933096183,10.66033331,0.213801965,0.80763432,214.22,204.14,214.0629942,80,0,0.335178964,-0.507966245,0.507966245,0.335178964,0.8125,1.25,1.6875,16.3655852,10.0394928,2.023236285,-2.018630316,2.215570439,-1.94312226,5.878456675,0.069666615,2.343960089,497.7058452,11.5436056,8.421477635,8.421477635,7.664703798,4.794072151,4.794072151,3.429376858,3.429376858,2.332488799,2.332488799,1.459135161,1.459135161,-2.29,5153.110264,10.23536208,4.06348951,2.032037337,92.60342904,10.21305479,5.749511833,0,0,0,5.969305288,0,4.794537184,0,0,24.26546827,35.39237126,0,5.563451492,15.00759197,5.969305288,0,0,0,0,0,54.09438804,0,16.87641482,0,0,5.749511833,0,16.18236008,0,0,10.35798868,48.53093655,0,11.12690298,0,57.53,5.969305288,4.794537184,0,11.31296332,0,11.12690298,0,48.53093655,0,0,10.21305479,0,0,10.66033331,17.89236626,2.127099185,-0.719294218,13.3728288,0,0,0,0,16,2,3,0,0,0,2,0,2,2,2,3,2,0,0,0,2,2.7574,60.5021,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3670685,0,C[C@@H](C1=CC=C(C=C1)C(=O)O)NC(=O)C2=C(N(N=C2C(F)F)C)OC3=CC=CC(=C3)C(F)(F)F,13.60509313,-4.660926431,13.60509313,0.019718471,0.441730821,483.393,465.249,483.1217472,180,0,0.416045085,-0.477639249,0.477639249,0.416045085,1.117647059,1.764705882,2.323529412,19.41326335,10.05466861,2.325399154,-2.158233373,2.355034419,-2.273719885,5.97807799,-0.137234177,1.923990599,1206.239362,25.20637782,17.72971071,17.72971071,15.87893642,9.724023143,9.724023143,7.239659715,7.239659715,4.836541146,4.836541146,3.125717964,3.125717964,-3.96,22546574.81,24.67789645,9.494054219,5.326572046,189.3157822,15.16017895,17.00689132,0,5.879988336,12.33262447,12.14560381,4.794537184,18.25717021,18.26992695,0,18.19910121,42.81902403,7.047671983,17.16874381,41.38453996,11.87648502,0,15.09727335,7.047671983,25.56732129,0,76.47867051,0,11.62950017,10.05365156,21.95207524,11.62950017,0,26.76349716,13.2239705,0,56.9278311,48.53093655,0,0,0,93.45,53.22088842,31.54114961,0,11.31296332,11.62981856,16.81453707,37.37950732,6.9237372,0,10.41547041,9.843390349,72.46972917,0,23.91315826,15.08170466,-2.05788717,-2.942321538,8.534523479,-7.831328592,1.541095361,1.207993037,0.227272727,34,2,7,0,0,0,2,1,3,5,2,12,7,0,0,0,3,5.358,108.9655,0,0,0,0,1,2,0,0,1,1,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1164870,0,CCCCOC(=O)NS(=O)(=O)C1=C(C=C(S1)CC(C)C)C2=CC=C(C=C2)CN3CCCC3=O,13.05605308,-4.085368561,13.05605308,0.104687238,0.473802895,492.663,460.407,492.1752641,180,0,0.420684697,-0.448851947,0.448851947,0.420684697,1.242424242,1.96969697,2.575757576,32.24811358,10.04317216,2.264090898,-2.153493028,2.362324666,-2.307326957,7.91872883,-0.127704584,1.848967875,1074.774232,24.00986092,19.42590749,21.05890066,15.69070903,11.38637307,13.6860329,8.722558137,11.73697235,5.361034821,8.36475166,3.703192093,6.543778684,-2.39,20471714.86,25.2370476,11.15619039,6.801042209,199.7392802,9.636772685,4.209179178,0,5.907179729,10.02329115,6.093240071,4.794537184,17.93442903,0,11.33678588,51.4575015,42.37364097,29.95093312,6.606881965,22.74373431,33.36049683,0,9.622004595,5.917906046,63.6292553,13.15163837,40.77243403,0,11.12690298,4.722094864,4.794537184,0,11.33678588,38.46976489,32.52026932,5.917906046,56.89509678,34.54101452,0,11.12690298,0,92.78,16.11653122,18.00687135,0,16.72324087,30.86775719,41.81127145,11.33678588,0,42.15548227,18.56956926,4.736862954,33.25455248,1.17946976,26.70901637,0,2.305050514,0.527696076,9.471352218,2.78142439,7.606806754,-4.085368561,0.5,33,1,7,0,1,1,1,1,2,6,1,9,10,0,1,1,3,4.951,129.5255,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
CHEMBL351231,0,C[C@@H]1CCCN1CCC2=CC3=C(O2)C=CC(=C3)C4=CC=C(C=C4)C#N,8.92278242,0.686635636,8.92278242,0.686635636,0.675763946,330.431,308.255,330.1732133,126,0,0.133814423,-0.461031339,0.461031339,0.133814423,1.12,1.92,2.64,16.33903331,10.02679719,2.19548773,-2.193099574,2.273680483,-2.283437504,5.837448128,0.266374649,1.530942155,917.3453701,17.22540387,14.53436181,14.53436181,12.22467799,8.998412806,8.998412806,6.93169008,6.93169008,5.250651684,5.250651684,3.717054743,3.717054743,-2.57,1049903.779,15.92872063,6.739699943,3.311208676,148.0306102,9.317060668,11.34326756,0,0,0,0,0,0,5.261891555,0,18.19910121,67.76887518,24.39364307,11.6326728,4.417150937,10.96924436,5.261891555,4.899909731,0,32.2280429,13.08951281,59.85463546,0,17.1961243,0,0,0,0,24.03126337,6.420821623,11.33111287,31.08907936,52.94808748,0,22.09614734,0,40.17,0,0,0,0,11.60529232,40.82197279,19.38639965,0,30.33183534,36.09196945,9.679042492,6.020742902,0,2.550956817,10.06753254,3.903220706,1.061183737,19.03748428,3.591814882,4.600397468,0,0.318181818,25,0,3,0,1,1,2,1,3,3,0,3,4,0,1,1,4,4.99828,100.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
